id,time_days,timestamp_ms,latitude,longitude,magnitude,parent_id,generation,time_utc
us6000t8d1,1.2603818171296297,1782447570378,10.4537,-68.3607,4.4,NONE,0,2026-06-26 04:19:30
sim_16,1.2658745675292642,1782448044951,10.528632497228912,-68.399635046389,2.2,us6000t8d1,1,2026-06-26 04:27:24
sim_15,1.2731095477090861,1782448670053,10.04876967650568,-68.78136654073826,2.2,us6000t8d1,1,2026-06-26 04:37:50
sim_176,1.3823415888518564,1782458107702,10.368337133045745,-68.40181068056401,2.5,us6000t7zp,1,2026-06-26 07:15:07
sim_334,1.3935290032340948,1782459074294,10.780670888257516,-68.16153681207817,2.5,sim_16,2,2026-06-26 07:31:14
sim_161,1.4108044023042483,1782460566889,10.422990987533131,-68.36084785325305,2.0,us6000t7zp,1,2026-06-26 07:56:06
sim_255,1.5017298892798117,1782468422851,9.186587568133685,-68.12562451579208,2.9,us6000t7zc,1,2026-06-26 10:07:02
sim_68,1.55492590673674,1782473018987,10.317515968808971,-68.57380627057773,2.0,us6000t7zp,1,2026-06-26 11:23:38
sim_151,1.5719198268564036,1782474487262,10.448193343779291,-68.51041591451717,2.3,us6000t7zp,1,2026-06-26 11:48:07
sim_182,1.6026243901822106,1782477140136,9.707341390191093,-68.28853767955115,2.4,us6000t7zp,1,2026-06-26 12:32:20
sim_118,1.6646707785305,1782482500944,10.357932907605226,-68.43834825193625,2.5,us6000t7zp,1,2026-06-26 14:01:40
sim_18,1.6975495020691824,1782485341665,10.529322868539529,-66.39064357146569,2.3,us6000t81p,1,2026-06-26 14:49:01
sim_286,1.7608798719417997,1782490813409,10.656723007086997,-68.24567738293395,2.4,us6000t7zc,1,2026-06-26 16:20:13
sim_287,1.7941145928247546,1782493684889,11.692949954322405,-69.3600510700742,2.6,us6000t7zc,1,2026-06-26 17:08:04
sim_318,1.7948949692597658,1782493752314,10.245325682673682,-68.3433986547234,2.0,us6000t7zc,1,2026-06-26 17:09:12
sim_224,1.8037832402859062,1782494520260,10.638829328557478,-68.53792963698461,2.1,us6000t7zc,1,2026-06-26 17:22:00
sim_188,1.8332498511886033,1782497066176,10.493598605039013,-68.51240559246766,2.5,us6000t7zp,1,2026-06-26 18:04:26
us6000t8k6,2.008084976851852,1782512171931,10.8,-67.5993,4.7,NONE,0,2026-06-26 22:16:11
sim_14,2.008461036844184,1782512204422,10.389490056981536,-67.7154436811883,2.1,us6000t8k6,1,2026-06-26 22:16:44
sim_13,2.014846582369407,1782512756133,9.314627486240125,-67.38656173803749,2.7,us6000t8k6,1,2026-06-26 22:25:56
sim_99,2.026953954586321,1782513802210,10.358043150394158,-68.37962203663378,2.0,us6000t7zp,1,2026-06-26 22:43:22
sim_364,2.0293581218541052,1782514009930,9.70408739545353,-68.3740412859013,3.5,sim_182,2,2026-06-26 22:46:49
sim_401,2.052553081586568,1782516013975,9.615475415532085,-68.3702254246238,2.1,sim_364,3,2026-06-26 23:20:13
sim_12,2.088216565075482,1782519095300,10.920446075076338,-67.49905523239178,2.2,us6000t8k6,1,2026-06-27 00:11:35
sim_112,2.16225182933276,1782525491947,10.218171319953983,-69.9807920795806,2.0,us6000t7zp,1,2026-06-27 01:58:11
sim_126,2.214144731447717,1782529975493,10.320501069356254,-68.14942479638094,4.5,us6000t7zp,1,2026-06-27 03:12:55
sim_164,2.259048802858717,1782533855205,10.600858839445817,-68.50372901562524,3.2,us6000t7zp,1,2026-06-27 04:17:35
sim_209,2.3597220610432923,1782542553375,10.48121385811675,-68.45022547560406,2.2,us6000t7zp,1,2026-06-27 06:42:33
sim_131,2.4067972198747873,1782546620668,10.801930041689458,-69.009352894602,2.3,us6000t7zp,1,2026-06-27 07:50:20
sim_352,2.5203049476497625,1782556427736,10.208091299554132,-68.17301337707151,2.5,sim_126,2,2026-06-27 10:33:47
sim_397,2.532731105756449,1782557501356,10.257334605416654,-68.16519066266207,2.2,sim_352,3,2026-06-27 10:51:41
sim_359,2.5404306608430502,1782558166598,10.52961035402056,-68.60271745130177,2.2,sim_164,2,2026-06-27 11:02:46
sim_192,2.566515105451431,1782560420294,10.317510365056876,-68.24577899274192,3.2,us6000t7zp,1,2026-06-27 11:40:20
sim_278,2.5898456752127204,1782562436055,10.384710631160443,-68.47311301014918,2.5,us6000t7zc,1,2026-06-27 12:13:56
sim_48,2.695504815716914,1782571565005,10.462654613533248,-68.49716396060904,2.5,us6000t7zp,1,2026-06-27 14:46:05
sim_184,2.7624911368805267,1782577352623,10.206354789387694,-68.23378909612987,2.0,us6000t7zp,1,2026-06-27 16:22:32
us6000t8q8,2.8861483449074075,1782588036606,10.6023,-67.5112,4.8,NONE,0,2026-06-27 19:20:36
sim_11,2.894694975858688,1782588775034,10.618887217567625,-67.45342289572714,3.1,us6000t8q8,1,2026-06-27 19:32:55
sim_96,2.91988325754142,1782590951302,10.49940520726287,-68.66634652187193,3.3,us6000t7zp,1,2026-06-27 20:09:11
sim_8,2.949772286920829,1782593533714,10.808880451495552,-67.59703657590707,3.0,us6000t8q8,1,2026-06-27 20:52:13
sim_227,3.064372882470072,1782603435206,10.410695282876144,-68.60034382988435,2.1,us6000t7zc,1,2026-06-27 23:37:15
sim_330,3.1709336564706843,1782612642056,10.319491637036334,-68.54626694815512,2.9,us6000t7zc,1,2026-06-28 02:10:42
sim_391,3.1869238372835698,1782614023608,10.285595136060765,-68.55107346347323,2.3,sim_330,2,2026-06-28 02:33:43
sim_271,3.242862737303576,1782618856729,10.41038757787987,-68.50083868867364,2.4,us6000t7zc,1,2026-06-28 03:54:16
sim_167,3.303429095072697,1782624089662,10.441069700804187,-68.52258434283975,2.1,us6000t7zp,1,2026-06-28 05:21:29
sim_307,3.3419179224526987,1782627415097,10.364632074229965,-68.50534555540865,2.0,us6000t7zc,1,2026-06-28 06:16:55
sim_290,3.352578222916749,1782628336147,10.372286605892848,-68.5958986639208,2.0,us6000t7zc,1,2026-06-28 06:32:16
us6000t8su,3.4455669791666668,1782636370376,10.6806,-68.4901,4.5,NONE,0,2026-06-28 08:46:10
sim_6,3.47034527257425,1782638511220,10.671017077746527,-68.46078686597849,2.4,us6000t8su,1,2026-06-28 09:21:51
us6000t8sx,3.4787669328703705,1782639238852,10.4497,-68.3766,4.3,NONE,0,2026-06-28 09:33:58
